Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16.190001,16.549999,16.190001,16.549999,16.516966,33461800
2018-01-03,16.490000,16.719999,16.370001,16.700001,16.666668,55940900
2018-01-04,16.780001,16.959999,16.620001,16.730000,16.696608,37064900
2018-01-05,16.700001,16.860001,16.570000,16.830000,16.796408,26958200
2018-01-08,16.740000,17.030001,16.709999,17.030001,16.996010,28400000
2018-01-09,17.030001,17.160000,16.959999,17.030001,16.996010,35070900
2018-01-10,16.920000,17.049999,16.770000,16.799999,16.766466,28547700
2018-01-11,16.879999,17.299999,16.840000,17.250000,17.215569,37921500
2018-01-12,17.040001,17.410000,17.020000,17.299999,17.265469,45912100
2018-01-15,17.320000,17.440001,17.150000,17.350000,17.315371,28945400
2018-01-16,17.350000,17.840000,17.299999,17.650000,17.614771,58618300
2018-01-17,17.920000,18.360001,17.809999,18.360001,18.323355,58488900
2018-01-18,18.350000,18.530001,17.930000,18.219999,18.183632,48575800
2018-01-19,18.309999,18.420000,18.030001,18.260000,18.223553,33470200
2018-01-22,18.260000,18.469999,18.090000,18.469999,18.433134,33920000
2018-01-23,18.400000,18.459999,18.000000,18.240000,18.203592,35567700
2018-01-24,18.420000,19.629999,18.420000,19.340000,19.301397,89768200
2018-01-25,19.340000,19.340000,19.340000,19.340000,19.301397,0
2018-01-26,19.620001,19.980000,19.100000,19.930000,19.890221,81989500
2018-01-29,19.670000,20.049999,19.570000,19.850000,19.810381,55726200
2018-01-30,19.770000,19.770000,19.360001,19.490000,19.451097,46203000
2018-01-31,19.740000,19.930000,19.680000,19.700001,19.660681,41576600
