laranja_camisa_bart,azul_calcao_bart,azul_sapato_bart,marrom_boca_homer,azul_calca_homer,cinza_sapato_homer,classe
6.886102,3.4952044,1.4849836,0.0,0.0,0.06295441,Bart
5.004901,3.1838887,1.0001415,0.0,0.0,0.03302354,Bart
5.2646203,5.0296826,0.283567,0.0,0.0,0.15157256,Bart
0.0,0.0,0.0,0.48016825,0.0,0.021164441,Bart
8.9789295,3.4591193,0.0,0.0,0.0,0.011593195,Bart
6.754324,0.94882727,0.52238804,0.0,0.0,0.016583748,Bart
9.693407,4.104684,1.5698341,0.0,0.24958521,0.008508586,Bart
0.0,0.0,0.0,0.0,0.0,0.076510064,Bart
0.0,0.0,0.0,0.0,0.0,0.0882353,Bart
0.0,0.0,0.0,0.94934833,0.0,0.07812345,Bart
9.594752,7.5227156,2.2041714,0.0,0.0,0.076332666,Bart
0.0,0.0,0.0,0.0,0.0,0.036414567,Bart
19.545383,0.0,0.0,0.0,0.0,0.008375396,Bart
6.495155,5.5991387,1.3397938,0.0,0.0023073372,0.0,Bart
0.0,0.0,0.0,0.0,0.0013172628,0.028540691,Bart
8.395721,0.0,0.0,0.0,0.0,0.012873837,Bart
8.9157505,0.0,0.0,0.0,0.019032579,0.0020247423,Bart
11.095816,4.525111,4.4286838,0.0,0.0,0.016770024,Bart
10.44335,3.1832962,1.4411281,0.0,0.0,0.028011207,Bart
9.497408,0.0,0.0,0.0,0.0,0.017796518,Bart
4.7505813,3.6004827,0.70221704,0.0,0.0,0.05140354,Bart
7.4303055,0.0,0.0,0.010463296,0.0,0.04139826,Bart
12.5307665,2.3734176,2.3734176,0.0,0.0,0.03596087,Bart
11.887306,6.86673,3.0174108,0.0,0.0,0.1506806,Bart
2.2067492,0.0,0.0,0.0,0.0,0.026068429,Bart
0.0,0.0,0.0,0.0,0.0,0.035771694,Bart
9.781371,6.3016524,2.0540984,0.0,0.0,0.04300894,Bart
4.3221135,5.937643,4.6265936,0.0,0.0,0.038478266,Bart
0.0,0.0,0.0,0.0,0.0,0.025594732,Bart
0.0,0.0,0.0,0.0,0.06857143,0.05142857,Bart
11.305242,7.723943,3.108398,0.0,0.0,0.044669446,Bart
0.0,0.0,0.0,0.0,0.0,0.17344174,Bart
11.359928,0.0,0.0,0.0,0.0,0.019323258,Bart
0.0,0.0,0.0,0.0,0.0016787536,0.060435135,Bart
5.7387733,3.3989244,0.4713805,0.0,0.0,0.025799116,Bart
5.0283465,0.0,0.0,0.0,0.0,0.017894471,Bart
0.0,1.4353703,0.0,0.0,0.0,0.008883812,Bart
16.896694,1.1445934,1.1445934,0.0,0.0,0.0607675,Bart
13.608922,0.26964062,0.26964062,0.0,0.0,0.017843865,Bart
7.449428,0.0,0.0,0.0,0.057218816,0.030632297,Bart
7.4354777,1.7398968,1.7398968,0.0,0.0,0.013848672,Bart
3.80596,2.272349,0.2134442,0.0,0.0,0.00970201,Bart
4.8137627,5.1552854,2.7606797,0.0,0.0,0.024989476,Bart
10.597756,0.0,0.0,0.0,0.0,0.010419923,Bart
7.972818,0.0,0.0,0.0,0.0,0.06859529,Bart
5.12615,7.112821,2.0850525,0.0,0.0,0.06664551,Bart
0.0,0.0,0.0,0.024807267,0.0,0.01526601,Bart
0.0,17.731358,1.9687593,0.0,0.0,0.03831418,Bart
3.0363514,1.7979194,0.0,0.0,0.0,0.024194036,Bart
8.149013,2.3579545,2.3549109,0.0,0.0,0.012851732,Bart
13.635153,5.732015,1.9841405,0.0,0.0,0.064910844,Bart
9.86566,3.991215,1.3899294,0.0,0.0,0.07457657,Bart
2.4923837,6.0368595,0.0,0.0,0.0,0.07323988,Bart
4.9115505,2.8407736,0.44522765,0.0,0.0,0.08981169,Bart
1.1870123,1.8072327,0.6366352,0.0,0.0,0.0,Bart
8.855312,0.0,0.0,0.0,0.0,0.0068147746,Bart
4.6582484,3.8799107,1.1972061,0.0,2.4527879,0.009217156,Bart
0.0,0.0,0.0,0.0,0.0,0.0,Bart
6.528926,0.0,0.0,0.0,0.0022905832,0.0,Bart
9.475363,0.0,0.0,0.0,0.0,0.081739135,Bart
12.132825,0.0,0.0,0.0,0.0,0.012038523,Bart
5.550222,0.0,0.0,0.0,8.888889E-4,0.014222222,Bart
2.7040012,0.8496064,0.0,0.0,0.0,0.0,Bart
0.4848928,1.3148148,0.0,0.0,0.0,0.010233918,Bart
